"Species","col_2b","col_16S","Group","Color"
"Capnocytophaga",0.004559361,0.001607514,"s11_11","shared"
"Cardiobacterium",0.002788417,0.000939222,"s11_11","shared"
"Catenibacterium",0,0.000668292,"s11_11","16S only"
"Catonella",0.000190207,0,"s11_11","2b only"
"Centipeda",0.00074041,0.000632168,"s11_11","shared"
"Cloacibacillus",0,3.61239e-05,"s11_11","16S only"
"Clostridioides",0,0.000325115,"s11_11","16S only"
"Clostridium",0,0.008073693,"s11_11","16S only"
"Clostridium_A",0,0.000162558,"s11_11","16S only"
"Clostridium_AN",0,0.005201842,"s11_11","16S only"
"Clostridium_AP",0,3.61239e-05,"s11_11","16S only"
"Clostridium_Q",0,7.22478e-05,"s11_11","16S only"
"Cohnella",0,3.61239e-05,"s11_11","16S only"
"Coleofasciculus",0,3.61239e-05,"s11_11","16S only"
"Collinsella",0,0.002203558,"s11_11","16S only"
"Coprococcus",0,0.000198681,"s11_11","16S only"
"Corynebacterium",0.007989532,0.003323399,"s11_11","shared"
"Criibacterium",0,3.61239e-05,"s11_11","16S only"
"Cryptobacterium",1.12503e-05,0,"s11_11","2b only"
"Cutibacterium",0.000789141,0,"s11_11","2b only"
"Desulfobulbus",0.000361674,0,"s11_11","2b only"
"Desulfomicrobium",0.001357443,9.03098e-05,"s11_11","shared"
"Dialister",0.00208492,0.001192089,"s11_11","shared"
"Dorea",0,0.000108372,"s11_11","16S only"
"Duncaniella",0,3.61239e-05,"s11_11","16S only"
"Duodenibacillus",0,0.002799603,"s11_11","16S only"
"DUPI01",0,5.41859e-05,"s11_11","16S only"
"Dysosmobacter",0,0.000198681,"s11_11","16S only"
"Eggerthella",0,0.000234805,"s11_11","16S only"
"Eikenella",0.001065829,0.001517204,"s11_11","shared"
"Emergencia",0,0.00157139,"s11_11","16S only"
"Enorma",0,0.000144496,"s11_11","16S only"
"Enterocloster",0,0.005075409,"s11_11","16S only"
"Erysipelatoclostridium",0,0.000415425,"s11_11","16S only"
"Eubacterium_A",0.005515075,0.000776664,"s11_11","shared"
"Eubacterium_B",0.000684712,0.000162558,"s11_11","shared"
"Eubacterium_F",0,0.000433487,"s11_11","16S only"
"Eubacterium_G",0,0.000903098,"s11_11","16S only"
"Eubacterium_M",0.004515252,0.000523797,"s11_11","shared"
"Eubacterium_N",0,0.000451549,"s11_11","16S only"
"Eubacterium_R",0,0.015876456,"s11_11","16S only"
"Evtepia",0,9.03098e-05,"s11_11","16S only"
"Extibacter",0,7.22478e-05,"s11_11","16S only"
"F0040",0.000473432,0.005888197,"s11_11","shared"
"F0058",0.004094047,0.001860381,"s11_11","shared"
"F0422",0.000353303,0.000939222,"s11_11","shared"
"F0428",0,0.000126434,"s11_11","16S only"
"Faecalibacterium",0,0.02525061,"s11_11","16S only"
"Filifactor",0.003278745,0,"s11_11","2b only"
"Flavonifractor",0,9.03098e-05,"s11_11","16S only"
"Flexilinea",0.000108561,0,"s11_11","2b only"
