sample_id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
StreptococcuS_SanguiniS_H,27074410,502544,2970596,2015026,5515481,423062,568991,1178247,7425908,2768521,3153703,1379512,2971650,2876197,1829921,1135732,2826184,5277890,1682462,680308,1131789,1681206,318386,546236
StreptococcuS_SanguiniS_I,985984,156538,196750,129370,470514,6450,0,55100,234333,489777,133638,111936,0,61300,62100,39600,0,1266752,53300,82200,0,23700,0,20800
StreptococcuS_SinenSiS,0,0,2425339,106641,143258,5830,718833,492658,89600,135199,2554751,104492,129965,45900,1150377,510085,0,199834,2527463,112396,132712,48700,170431,228207
StreptococcuS_SobrinuS,0,0,51300,0,0,0,0,0,0,0,268612,0,0,0,0,0,129573,0,116423,0,0,0,0,0
StreptococcuS_Sp000187445,0,0,143601,0,0,0,0,0,0,0,261660,0,0,0,0,0,0,0,62200,0,0,0,0,0
StreptococcuS_Sp000187745,0,0,0,3244760,0,496423,0,1938764,0,770340,0,5619882,0,2488578,0,4365046,0,6866022,151421,5940849,3543175,34067767,0,3814114
StreptococcuS_Sp000220065,0,0,194131,0,132246,16900,250574,355461,246177,0,800675,34500,187655,70100,416654,511590,88300,0,299259,20000,191095,38800,123688,348425
StreptococcuS_Sp000235485,833700,0,90800,0,0,280270,807475,348600,1574604,337033,140039,104113,0,1206047,1146834,326191,610985,184277,98700,62700,842989,1258490,538162,269744
StreptococcuS_Sp000259505,0,0,283251,154929,0,66700,0,64600,0,0,910998,315434,0,39200,168507,164149,0,0,1705306,408138,0,87700,122788,223870
StreptococcuS_Sp000314795,0,334006,47100,0,0,100510,47100,12900,296882,0,75700,7940,0,327797,289748,24400,0,0,0,4930,0,260417,98300,10100
StreptococcuS_Sp000411475,0,0,328691,0,0,201474,0,24400,527659,0,430637,54600,0,105772,264742,27300,0,0,363755,38000,0,217649,203052,69800
StreptococcuS_Sp000448565,0,0,272664,0,0,0,0,0,0,0,568202,0,0,0,0,0,0,0,193353,0,0,119383,0,0
StreptococcuS_Sp000831085,0,0,0,0,0,281685,0,249078,0,0,0,997262,0,533601,0,297661,0,0,0,459217,0,473285,0,228484
StreptococcuS_Sp001553685,0,0,274728,143821,0,478713,575270,178261,978395,0,362391,340347,0,532521,1733331,247470,525808,334782,136478,520411,0,1028526,532337,186650
StreptococcuS_Sp001556435,0,0,1242697,219454,0,523155,1865980,0,0,0,1568190,102076,0,798374,2151673,64700,0,0,474215,23000,0,745117,224946,0
StreptococcuS_Sp001587175,0,1338006,1657121,166307,397519,1653195,228531,21600,1002145,610664,5003655,390773,450394,3770109,816607,39100,0,163100,1373581,253562,0,5001304,273962,29600
StreptococcuS_Sp001650315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350838,0,0
StreptococcuS_Sp001808705,0,0,0,0,0,243171,179772,70000,0,0,118742,77500,0,231885,618258,75200,0,117093,0,82600,0,415913,141373,33600
StreptococcuS_Sp001810785,0,0,0,0,0,597236,0,0,0,0,0,0,0,925504,0,0,0,0,506963,0,0,2387649,0,267411
StreptococcuS_Sp001811505,1096659,0,128054,129743,0,341735,437226,266253,2213253,0,148645,423324,0,580079,1469544,306711,2216738,1340159,83400,553257,498822,539927,1087893,251853
