sample_id,s9_11,s9_12,s9_14,s9_1,s9_2,s9_6,s9_7,s9_9,s11_11,s11_12,s11_14,s11_1,s11_2,s11_6,s11_7,s11_9,s17_11,s17_12,s17_14,s17_1,s17_2,s17_6,s17_7,s17_9
Dialister,0.23008,0.32763,0.66949,0.06575,0.24982,0.60321,0.39012,0.26258,0.17488,0.52874,0.10645,0.03114,0.10829,0.14808,0.15214,0.32819,0.15878,0.0456,0.13867,0.02691,0.05689,0.0494,0.14156,0.22499
Capnocytophaga,0.43453,3.96901,0.69543,0.33842,0.24625,0.6928,1.95686,2.83788,0.29327,2.56743,0.68959,1.03949,0.73002,1.52816,1.37724,2.59934,0.70548,1.7656,0.37886,1.02376,0.72319,0.78878,1.28462,2.13243
Kingella_A,0.04688,0,0.03527,0.01852,0,0.02,0.34341,0.21493,0.1577,0,0.05812,0.1899,0,0.18617,0.38836,0.17716,0.14103,0,0.01084,0.14059,0.00616,0.2423,0.21887,0.11915
Saccharimonas,0.6978,0.34179,0.20269,0.21057,0.25758,0.01053,1.26722,0.14695,0.13292,0.32966,0.12221,0.06563,0.16185,0.09849,0.62309,0.1274,0.13645,0.03293,0.14739,0.02241,0.12297,0.02962,0.24594,0.06769
Pauljensenia,0.06125,0.1326,0.0512,0.02298,0.13264,0.60621,0.27525,0.09874,0.16571,0.0884,0.05915,0.03044,0.05248,0.32478,0.75523,0.10255,0,0.01328,0.27148,0.03463,0,0.37588,0.44679,0.12348
Johnsonella,0.33433,0.99028,0.24516,0.13082,0.03167,0.00961,0.22281,0.12399,0.12911,0.25773,0.14817,0.02994,0,0.09475,0.05834,0.12851,0.11593,0.05295,0.01861,0.00885,0,0.01423,0.02743,0.045
Peptidiphaga,0.13459,0.08533,0.10328,0.02368,0.00608,0.01622,0.19129,0.01244,0.2448,0.21068,0.13476,0.01319,0,0.16034,0.06523,0.01052,0.04913,0.00131,0.00695,0.01167,0,0.05424,0.04015,0.01443
Treponema_B,0.38283,0.7032,0.45406,0.20012,0.80095,0.01041,0.71522,0.25463,0.12325,0.14456,0.56643,0.03763,0.34181,0.01396,0.14046,0.38159,0.11298,0.05282,0.37511,0.01541,0.21427,0,0.0533,0.17515
Kingella_B,0.08426,0.00382,0.01017,0,0,0.00369,0.12571,0.01118,0.11358,0.0111,0.01318,0.00017,0,0.02708,0.08844,0.01062,0.1159,0.00456,0.00615,0.00103,0.02878,0.01059,0.06181,0.00976
Arachnia,0.0503,0.46487,0,0.00798,0.11216,0.01608,0.03605,0.03384,0.11666,0.57194,0,0.05357,0.04671,0.14202,0.02863,0.03184,0.02893,0.11975,0,0.04317,0.04994,0.10556,0.02415,0.02744
