id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
Mesocricetibacter_sp905373425,0,0,91900,0,2434179,19100,506511,502040,141437,106913,152455,542506,2528205,242819,573180,602201,260079,330260,73600,276010,7093937,108695,742271,763108
Eikenella_halliae,0,887507,0,0,0,81900,391394,1554151,136780,989434,0,154091,0,647004,206336,1589891,0,677818,0,73800,591599,555916,103534,1463128
Porphyromonas_catoniae,0,1186823,1518414,102943,450936,466601,68900,1855352,130806,1545690,2125629,606545,3025930,1578321,427663,1999049,0,617127,963261,552438,5786585,733234,143820,2893407
F0422_sp003992055,0,0,0,0,0,85100,0,207352,129389,0,85000,67400,0,0,0,329825,0,0,366786,167469,21700,0,0,313544
Prevotella_veroralis,0,0,623381,0,475532,475434,2450788,1381919,117746,722509,388800,22600,0,240565,2366174,1412668,98100,88000,140797,55000,2020063,127865,2325858,2160776
Pseudoleptotrichia_goodfellowii,1254326,2897840,0,0,0,15900,0,0,112988,391333,0,65500,0,229499,0,0,0,343511,0,60600,0,0,0,0
Pauljensenia_sp000308055,0,0,12800,0,0,632109,0,28600,112279,0,0,17400,0,210750,676723,25700,0,0,0,1990,0,159984,253929,4860
Pauljensenia_sp000411415,0,0,58100,0,0,1991281,0,9300,110051,0,0,15600,0,1174955,233748,27800,0,0,0,30600,0,1695075,228568,29900
Alloprevotella_sp003639005,0,0,3129406,0,892798,4386229,2772037,9497019,108533,75800,4891727,307034,480702,991048,2782166,10992570,1397227,10000,4448780,252145,912533,414490,1151292,8551555
Alloprevotella_rava,0,12200,1361640,22400,210655,4967327,1090267,182698,107419,160523,617653,99300,0,82100,542342,180196,0,0,802368,115763,0,181295,552006,147285
Arachnia_propionica,0,2326771,0,0,0,44200,196881,149089,106002,3263157,0,0,0,768516,48700,114541,0,317414,0,1780,115129,512683,23300,97500
Campylobacter_A_concisus_T,0,224670,2609640,2733823,918816,2304962,3113727,327367,85300,206460,1273220,213116,0,626206,4074257,294023,0,126237,162742,202114,0,397258,3193684,271209
JABZIP01_sp015258265,3259341,2215167,0,57200,3540802,89700,2227334,984544,75400,322786,0,0,1163664,0,1038213,890277,0,0,0,0,0,0,220218,593647
Ottowia_sp001262075,782340,17832728,1089312,522170,482857,51100,8544621,8071256,75300,14242382,533309,559534,0,1472792,2239289,7285046,921962,3013310,0,604981,0,548880,366126,4743960
