sample_id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S13_11,S13_12,S13_14,S13_1,S13_2,S13_6,S13_7,S13_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
PhycicoccuS_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0
Yimella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2660,0,0,0,0,0,0,0,0,0,0,0,0,0
Cnuibacter,0,0,0,4420,0,0,0,0,0,0,0,1510,0,0,0,0,0,0,0,0,0,1930,0,0,0,0,0,1030,0,616,0,0
Curtobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3530,0,0,0,0,0,0,0,0
Curtobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,0,0,0,0,0,0,0,0
Microbacterium,0,0,0,111149,0,0,0,0,0,0,0,22100,0,999,0,0,0,0,0,10700,0,0,0,0,0,0,0,19000,0,0,0,0
Microbacterium,0,0,0,3350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microbacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2340,0,0,0,0,0,0,0,0,0,507,0,0
Microbacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,0,0
Microbacterium,0,0,0,10800,0,0,0,0,0,0,0,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870,0,0,0,0
Microbacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microbacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,0,0,0,0,0,0,0,0
Microbacterium,0,0,0,4780,0,0,0,0,0,0,0,650,0,0,0,0,0,0,1590,0,0,0,0,0,0,0,0,456,0,0,0,0
Microbacterium,0,0,0,17500,0,0,0,0,0,0,0,2920,0,0,0,0,0,0,0,981,0,0,0,0,0,0,0,1470,0,0,0,0
Protaetiibacter,0,0,0,4380,0,0,0,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0
UBA3913,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,5540,0,0,0,0,0,0,0,0,0,0
Arthrobacter_D,0,0,0,0,0,0,0,0,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthrobacter_D,0,0,0,0,0,0,0,0,0,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutamicibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,0,0,0
Kocuria,15000,0,0,0,0,0,0,0,0,0,0,1570,0,2260,0,0,0,0,0,2890,0,6940,0,0,0,0,0,0,0,4650,0,0
Kocuria,0,0,0,0,0,0,0,0,17600,0,0,0,0,0,0,0,0,0,0,0,0,3590,0,0,37800,0,0,0,0,0,0,0
