sample_id,depth,BrayCurtis_similarity,way
s13_6,150,0.985047588,WMS
s13_7,150,0.979618332,WMS
s13_9,150,0.991483167,WMS
s17_1,150,0.995882568,WMS
s17_11,150,0.983370109,WMS
s17_12,150,0.988982314,WMS
s17_2,150,0.979387499,WMS
s17_6,150,0.971550909,WMS
s17_7,150,0.993224597,WMS
s17_9,150,0.992257051,WMS
s9_1,150,0.980262606,WMS
s9_11,150,0.96855683,WMS
s9_12,150,0.974496404,WMS
s9_14,150,0.992248401,WMS
s9_2,150,0.975578091,WMS
s9_6,150,0.997040633,WMS
s9_9,150,0.995097302,WMS
s11_1,175,0.98961848,WMS
s11_11,175,0.987548351,WMS
s11_12,175,0.987605019,WMS
s11_14,175,0.970397,WMS
s11_2,175,0.996584333,WMS
s11_6,175,1,WMS
s11_9,175,0.994455064,WMS
s13_1,175,0.995945199,WMS
s13_12,175,0.987958886,WMS
s13_2,175,0.976933435,WMS
s13_6,175,0.988017903,WMS
s13_7,175,0.985548515,WMS
s13_9,175,0.994743068,WMS
s17_1,175,0.997663001,WMS
s17_11,175,0.994696881,WMS
s17_12,175,0.992039897,WMS
s17_2,175,0.989220768,WMS
s17_6,175,0.972688672,WMS
s17_7,175,0.996553733,WMS
s17_9,175,0.997010984,WMS
s9_1,175,0.985419753,WMS
s9_11,175,0.978547779,WMS
s9_12,175,0.985245117,WMS
s9_2,175,0.984306979,WMS
s9_6,175,0.9973757,WMS
s9_9,175,0.996324734,WMS
s11_1,200,0.993094165,WMS
s11_11,200,0.992339068,WMS
s11_12,200,0.997291883,WMS
s11_14,200,0.977151532,WMS
s11_9,200,0.998240717,WMS
s13_1,200,0.998622633,WMS
s13_12,200,0.993025269,WMS
s13_2,200,0.983909536,WMS
s13_6,200,0.991817719,WMS
s13_7,200,0.989820169,WMS
s17_12,200,0.996329749,WMS
s17_6,200,0.992246817,WMS
s17_9,200,0.997803017,WMS
s9_1,200,0.989122104,WMS
s9_11,200,0.988964231,WMS
s9_12,200,0.992917201,WMS
s9_2,200,0.992327315,WMS
s9_6,200,0.998248633,WMS
s9_9,200,0.997234968,WMS
s11_1,225,0.994124366,WMS
s11_11,225,1,WMS
s11_14,225,0.984697165,WMS
s13_12,225,0.996550618,WMS
s13_2,225,0.995538734,WMS
s13_6,225,0.994261717,WMS
s13_7,225,0.994814933,WMS
s17_6,225,0.994869151,WMS
s9_1,225,0.992623735,WMS
s9_11,225,0.997263983,WMS
s9_6,225,0.998792333,WMS
s9_9,225,0.997959934,WMS
