"Species","col_WMS","col_2b","Group","Color"
"Corynebacterium",0.00289367106988705,0.002824229,"s11_12","shared"
"Cryptobacterium",0,1.19392e-05,"s11_12","2b only"
"Cryptobacteroides",0.00093804551323321,0,"s11_12","WMS only"
"Cutibacterium",0.00101296061363702,0.001514669,"s11_12","shared"
"Deinococcus",0,2.5628e-05,"s11_12","2b only"
"Desulfobulbus",0.000372466631900436,0.000513869,"s11_12","shared"
"Dialister",0.00530973326910317,0.006022875,"s11_12","shared"
"Eikenella",0.0014717904980137,0.002864471,"s11_12","shared"
"Eubacterium_A",0,0.002204237,"s11_12","2b only"
"Eubacterium_B",0.00450946727028555,0.005762678,"s11_12","shared"
"Eubacterium_M",0.00422908796689757,0.003785845,"s11_12","shared"
"Eubacterium_N",0.00419624984647928,0.003645817,"s11_12","shared"
"F0040",0,0.000700323,"s11_12","2b only"
"F0058",0.0134064890335239,0.010874479,"s11_12","shared"
"Filifactor",0.00860228205856654,0.007124589,"s11_12","shared"
"Flexilinea",0.000145110348637404,0.000270452,"s11_12","shared"
"Fretibacterium",0.0030901976804638,0.003243393,"s11_12","shared"
"Fusobacterium",0.028750427171727,0.009413203,"s11_12","shared"
"GCA-2749205",0.000375880993044846,0,"s11_12","WMS only"
"Gemella",0.00162824857633693,0.002165923,"s11_12","shared"
"GN02-872",0.000434226399659608,0,"s11_12","WMS only"
"GN02-873",0,4.79625e-05,"s11_12","2b only"
"Gordonia",3.26372756450908e-05,0.000535439,"s11_12","shared"
"Granulicatella",0.0022289752929798,0.003402461,"s11_12","shared"
"Haemophilus",0.0102351500646871,0.015608039,"s11_12","shared"
"Haemophilus_A",0.00652223316491495,0.008603867,"s11_12","shared"
"Haemophilus_D",0.146574908723582,0.157442721,"s11_12","shared"
"Hornefia",0.00191405068860133,0,"s11_12","WMS only"
"HOT-345",0.00372426462945796,0.001798499,"s11_12","shared"
"JABCPE02",0.000411229673128144,0.00053427,"s11_12","shared"
"JABCPG02",0,9.94244e-05,"s11_12","2b only"
"JABCPO02",0.000101828300012683,0,"s11_12","WMS only"
"JABZIP01",0.000316832629723882,0,"s11_12","WMS only"
"Johnsonella",0.002588186169849,0.002387009,"s11_12","shared"
"Kingella",9.55016896568657e-05,0,"s11_12","WMS only"
"Kingella_A",0,0.000158087,"s11_12","2b only"
"Kingella_B",0.00011146884912631,0.000165018,"s11_12","shared"
"Klebsiella",0,1.54386e-05,"s11_12","2b only"
"Lachnoanaerobaculum",0.000464654382799493,0.001492332,"s11_12","shared"
"Lancefieldella",0.00246075016125325,0.002164218,"s11_12","shared"
"Lautropia",0.0994134428821064,0.067551186,"s11_12","shared"
"Lawsonella",4.67968321557302e-05,0.00030476,"s11_12","shared"
"Leptotrichia",0.00231051827089923,0.002871268,"s11_12","shared"
"Leptotrichia_A",0.00290893527265029,0.002926854,"s11_12","shared"
"Mesocricetibacter",0.000104941393997292,0,"s11_12","WMS only"
"Metamycoplasma",0.00441537149404109,0.001529168,"s11_12","shared"
"Micrococcus",0,2.71719e-05,"s11_12","2b only"
"Mogibacterium",0.00439900264502524,0.006388636,"s11_12","shared"
"Moraxella",0.000546900317425122,0,"s11_12","WMS only"
"Nanogingivalis",0.000107351531275699,0,"s11_12","WMS only"
"Nanoperiomorbus",0.00127004192333373,0,"s11_12","WMS only"
"Nanosynbacter",0.000782892925935778,0,"s11_12","WMS only"
"Nanosyncoccus",0.000489960824222763,0,"s11_12","WMS only"
"Neisseria",0.156661935768034,0.133084791,"s11_12","shared"
"Olsenella",0.000598216156977865,0.002001917,"s11_12","shared"
"Olsenella_F",0.00123559704472984,0,"s11_12","WMS only"
"Oribacterium",0.00189547254708027,0.001381494,"s11_12","shared"
"Ottowia",0.0139797000162383,0.009286605,"s11_12","shared"
"Parvimonas",0.00568511215021502,0.003776381,"s11_12","shared"
"Pauljensenia",0.00088773389754647,0.002753366,"s11_12","shared"
"Peptidiphaga",0.00211569884089469,0.001792007,"s11_12","shared"
"Peptoanaerobacter",0.000988557973693151,0.001490808,"s11_12","shared"
"Peptostreptococcus",0.00272466019323878,0.001897978,"s11_12","shared"
"Porphyromonas",0.0177972570428479,0.016750168,"s11_12","shared"
"Prevotella",0.0501465212831691,0.071406233,"s11_12","shared"
"Pseudoleptotrichia",0.00167615005474526,0.000625011,"s11_12","shared"
"Pseudomonas_A",0,3.48912e-05,"s11_12","2b only"
"QFNR01",0,0.0001274,"s11_12","2b only"
"Quisquiliibacterium",0,1.47181e-05,"s11_12","2b only"
"Ralstonia",0,4.99283e-05,"s11_12","2b only"
"Rodentibacter",0,0.000261941,"s11_12","2b only"
"Rothia",0.147640490667798,0.186346421,"s11_12","shared"
"Saccharimonas",0.00331052439666481,0.002845106,"s11_12","shared"
"Scardovia",0,2.85099e-05,"s11_12","2b only"
"SDRW01",0.000310606441754664,0.000806118,"s11_12","shared"
"Selenomonas",0.00199619620084035,0.001614363,"s11_12","shared"
"Shuttleworthia",0.000429908237035796,0.000599494,"s11_12","shared"
"Slackia",0.000666402957479454,0.000857357,"s11_12","shared"
"Sphingomonas",0,2.43723e-05,"s11_12","2b only"
"Staphylococcus",0,0.00022104,"s11_12","2b only"
"Stomatobaculum",0,1.14245e-05,"s11_12","2b only"
"Streptococcus",0.0293010431174563,0.046010381,"s11_12","shared"
"Tannerella",0.0217431538795327,0.027274449,"s11_12","shared"
"Tardiphaga",0,1.03953e-05,"s11_12","2b only"
"TM7x",0,0.00235236,"s11_12","2b only"
"Treponema",0.00387911594959559,0.003674031,"s11_12","shared"
"Treponema_B",0.00145170602069364,0.00259598,"s11_12","shared"
"Treponema_C",0.00233301288549769,0.00206037,"s11_12","shared"
"Treponema_D",0.000152742450019025,0.000766983,"s11_12","shared"
"UBA1103",0,0.001282378,"s11_12","2b only"
"UMGS1907",0,0.000123923,"s11_12","2b only"
"Veillonella",0.00539589567680621,0.010085918,"s11_12","shared"
"W11650",0.00194658754185982,0.001412811,"s11_12","shared"
"Abiotrophia",0.000452025562381836,0.000521425,"s11_14","shared"
"Acinetobacter",0,8.20696e-05,"s11_14","2b only"
"Actinomyces",0.00146850587432465,0.006656497,"s11_14","shared"
"Aggregatibacter",0.0326341777099901,0.02173006,"s11_14","shared"
"Allisonella",0.00360988035727586,0.003278288,"s11_14","shared"
"Alloprevotella",0.0459913674460887,0.01130686,"s11_14","shared"
"Anaeroglobus",0.000249452259053712,0.001335243,"s11_14","shared"
"Arachnia",0,0.000583888,"s11_14","2b only"
"Bacillus_A",0,6.59734e-05,"s11_14","2b only"
"Bacteroides",0,9.17062e-05,"s11_14","2b only"
"Bacteroides_D",0.00216727334928356,0.000505839,"s11_14","shared"
"Bergeyella_A",0.0134802595427786,0,"s11_14","WMS only"
"Bifidobacterium",0,0.000945122,"s11_14","2b only"
"Bulleidia",0.00112389033898002,0.002096156,"s11_14","shared"
"CAG-791",0,2.25559e-05,"s11_14","2b only"
"CAG-793",0,0.000229679,"s11_14","2b only"
"CAJPSE01",0.00469994155689931,0,"s11_14","WMS only"
"Campylobacter",0,0.000119558,"s11_14","2b only"
"Campylobacter_A",0.0152366644428441,0.013074446,"s11_14","shared"
"Campylobacter_B",0.0180440814766289,0.00040095,"s11_14","shared"
"Capnocytophaga",0.00692232528454121,0.008673591,"s11_14","shared"
"Cardiobacterium",0.00141811350649971,0.002301238,"s11_14","shared"
"Catonella",0.00061203638770643,0.001097664,"s11_14","shared"
"Centipeda",0,0.0017648,"s11_14","2b only"
"Corynebacterium",0.00421509068718928,0.006446538,"s11_14","shared"
"Criibacterium",0,0.000105579,"s11_14","2b only"
"Cryptobacterium",0,4.27821e-05,"s11_14","2b only"
"Cryptobacteroides",0.0015444959588734,0,"s11_14","WMS only"
"Cutibacterium",0,0.00035791,"s11_14","2b only"
"Desulfobulbus",0.000791421171178858,0.001398362,"s11_14","shared"
"Dialister",0.001068579194216,0.002355438,"s11_14","shared"
"Eikenella",0,0.001243219,"s11_14","2b only"
"Enterobacter",0,2.54151e-05,"s11_14","2b only"
"Enterocloster",0,8.8847e-05,"s11_14","2b only"
"Eubacterium_A",0,0.028454235,"s11_14","2b only"
"Eubacterium_B",0.000604407264290703,0.001507184,"s11_14","shared"
"Eubacterium_M",0.0178894913442576,0.0153263,"s11_14","shared"
"Eubacterium_N",0,4.92418e-05,"s11_14","2b only"
"F0040",0,0.008423714,"s11_14","2b only"
"F0058",0.00694230154190607,0.007003284,"s11_14","shared"
"F0422",7.51870189260483e-05,0.004371754,"s11_14","shared"
"F0428",5.59134439810533e-05,0.000154388,"s11_14","shared"
"Filifactor",0.0380945220283912,0.028429424,"s11_14","shared"
"Flexilinea",0,0.000489243,"s11_14","2b only"
"Fretibacterium",0.00424159185273864,0.005827226,"s11_14","shared"
"Fusobacterium",0.0465091440063298,0.011002772,"s11_14","shared"
"Gemella",0.0323297154557809,0.020907092,"s11_14","shared"
"GN02-872",0.002937814814272,0.001399736,"s11_14","shared"
"GN02-873",0.00128450346352165,0.001198703,"s11_14","shared"
"Granulicatella",0.0124197110047897,0.008199163,"s11_14","shared"
"Haemophilus",0.00265603916390429,0.004235169,"s11_14","shared"
"Haemophilus_A",0.0255539496473839,0.023159943,"s11_14","shared"
"Haemophilus_D",0.0196526219189133,0.023921034,"s11_14","shared"
"Hornefia",0.0363834903360087,0,"s11_14","WMS only"
"HOT-345",0.00257091420789723,0.002227975,"s11_14","shared"
"JABCPE02",0.00187716589308024,0.001731036,"s11_14","shared"
"JABCPG02",0,0.000153119,"s11_14","2b only"
"JABCPH02",0.00194301727414231,0.00089116,"s11_14","shared"
"JABCPO02",0.00183641031272781,0,"s11_14","WMS only"
"Johnsonella",0.00148737791645829,0.000668284,"s11_14","shared"
"Kingella_A",0.000583427174897453,0.000918063,"s11_14","shared"
"Kingella_B",0.000132305061341164,0.000415546,"s11_14","shared"
"Klebsiella",0,0.000122625,"s11_14","2b only"
"Lachnoanaerobaculum",0.000395409435980914,0.001891596,"s11_14","shared"
"Lactobacillus",0,0.000122522,"s11_14","2b only"
"Lancefieldella",0.00137384451404793,0.002534578,"s11_14","shared"
"Lautropia",0.00617336620816304,0.004891618,"s11_14","shared"
"Lawsonella",0,8.7788e-05,"s11_14","2b only"
"Leptotrichia",0.0436116832395988,0.026316593,"s11_14","shared"
"Leptotrichia_A",0.0046926135830921,0.002345351,"s11_14","shared"
"Mesocricetibacter",0.000134814641412127,0,"s11_14","WMS only"
"Metamycoplasma",0.0530029333979533,0,"s11_14","WMS only"
"Mitsuokella",0,3.5793e-05,"s11_14","2b only"
"Mogibacterium",0.00686390226048919,0.013471358,"s11_14","shared"
"Nanogingivalis",0.00369490493008009,0,"s11_14","WMS only"
"Nanoperiomorbus",0.000587342119808156,0,"s11_14","WMS only"
"Neisseria",0.0575690641454689,0.070243103,"s11_14","shared"
"Olegusella",0,2.53092e-05,"s11_14","2b only"
"Olsenella",0,0.000982786,"s11_14","2b only"
"Olsenella_B",0,2.43985e-05,"s11_14","2b only"
"Oribacterium",0.00235157690969507,0.00311116,"s11_14","shared"
"Ornithobacterium",0,0.000126489,"s11_14","2b only"
"Ottowia",0.000471600286935347,0.00100869,"s11_14","shared"
"Parascardovia",0,0.00030521,"s11_14","2b only"
"Parvimonas",0.00697141267072924,0.00442582,"s11_14","shared"
"Pauljensenia",0.000593766644789821,0.003187476,"s11_14","shared"
"Peptidiphaga",0.00135276404145184,0.003074908,"s11_14","shared"
"Peptoanaerobacter",0.000192534983044273,0.001757017,"s11_14","shared"
"Peptostreptococcus",0.00050994667041966,0.001412935,"s11_14","shared"
"Phocaeicola",0.00025296567115306,0.000786002,"s11_14","shared"
"Porphyromonas",0.0744854407214099,0.067979264,"s11_14","shared"
"Prevotella",0.134685950146088,0.187911746,"s11_14","shared"
"Propionibacterium",0,1.68375e-05,"s11_14","2b only"
"Pseudoramibacter",0.000161115040555818,0.00033813,"s11_14","shared"
"Ralstonia",0,1.02402e-05,"s11_14","2b only"
"Rodentibacter",0,0.0004565,"s11_14","2b only"
"Rothia",0.00885972109932456,0.020165341,"s11_14","shared"
"Saccharimonas",0.0012267831218895,0.00228694,"s11_14","shared"
"Scardovia",8.6429937643962e-05,0.000744256,"s11_14","shared"
"SDRK01",0,0.000104837,"s11_14","2b only"
"SDRW01",0,0.000583797,"s11_14","2b only"
"Selenomonas",0.000219638447810672,0.000645675,"s11_14","shared"
