"Species","col_2b","col_WMS","Group"
"Porphyromonas_pasteri",0.015933608,0.014068747,"s11_1"
"Porphyromonas_sp000467855",0.00207003,0.001471147,"s11_1"
"Porphyromonas_sp003640335",0.003691593,0.003148473,"s11_1"
"Prevotella_aurantiaca",0.000198698,0.000193077,"s11_1"
"Prevotella_baroniae",0.000178484,0.00017987,"s11_1"
"Prevotella_bivia",0.000180563,0.000226456,"s11_1"
"Prevotella_buccae",9.19e-05,0.000105731,"s11_1"
"Prevotella_conceptionensis",0.000535067,0.000504542,"s11_1"
"Prevotella_denticola",0.000176677,0.000170744,"s11_1"
"Prevotella_disiens",2e-05,5.29129e-05,"s11_1"
"Prevotella_enoeca",3.63e-05,3.32195e-05,"s11_1"
"Prevotella_falsenii",2.55e-05,2.56701e-05,"s11_1"
"Prevotella_fusca",0.000335777,0.000271971,"s11_1"
"Prevotella_histicola",7.43e-05,6.88243e-05,"s11_1"
"Prevotella_intermedia",0.011833949,0.011056731,"s11_1"
"Prevotella_jejuni",0.000195406,0.000162926,"s11_1"
"Prevotella_koreensis",0.001012737,0.000876644,"s11_1"
"Prevotella_loescheii",0.000443914,0.000402413,"s11_1"
"Prevotella_maculosa",5.71e-05,5.5272e-05,"s11_1"
"Prevotella_marshii",2.19e-05,2.66823e-05,"s11_1"
"Prevotella_melaninogenica",0.001331113,0.001102197,"s11_1"
"Prevotella_melaninogenica_A",0.000914645,0.000801511,"s11_1"
"Prevotella_micans",0.000106568,9.80953e-05,"s11_1"
"Prevotella_multiformis",0.000115212,8.0979e-05,"s11_1"
"Prevotella_nanceiensis",0.000393903,0.000414028,"s11_1"
"Prevotella_nigrescens",0.002541771,0.002349316,"s11_1"
"Prevotella_oralis",5.61e-05,5.53705e-05,"s11_1"
"Prevotella_oris",0.001246521,0.001081564,"s11_1"
"Prevotella_oulorum",7.6e-05,7.04197e-05,"s11_1"
"Prevotella_pallens",0.000246326,0.000217187,"s11_1"
"Prevotella_pleuritidis",0.000992504,0.000993336,"s11_1"
"Prevotella_saccharolytica",5.05e-05,3.95046e-05,"s11_1"
